Id,MSSubClass,MSZoning,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,GrLivArea,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,GarageType,GarageYrBlt,GarageFinish,GarageCars,SalePrice
31,70,C (all),8500,IDOTRR,4,4,1920,1317,649,668,1317,1,0,Detchd,1920.0,Unf,1,40000
32,20,RL,8544,Sawyer,5,6,1966,1228,1228,0,1228,1,1,Attchd,1966.0,Unf,1,149350
33,20,RL,11049,CollgCr,8,5,2007,1234,1234,0,1234,2,0,Attchd,2007.0,RFn,2,179900
34,20,RL,10552,NAmes,5,5,1959,1700,1700,0,1700,1,1,Attchd,1959.0,RFn,2,165500
35,120,RL,7313,NridgHt,9,5,2005,1561,1561,0,1561,2,0,Attchd,2005.0,Fin,2,277500
36,60,RL,13418,NridgHt,8,5,2004,2452,1132,1320,2452,3,1,BuiltIn,2004.0,Fin,3,309000
37,20,RL,10859,CollgCr,5,5,1994,1097,1097,0,1097,1,1,Attchd,1995.0,Unf,2,145000
38,20,RL,8532,NAmes,5,6,1954,1297,1297,0,1297,1,0,Attchd,1954.0,Fin,2,153000
39,20,RL,7922,NAmes,5,7,1953,1057,1057,0,1057,1,0,Detchd,1953.0,Unf,1,109000
40,90,RL,6040,Edwards,4,5,1955,1152,1152,0,1152,2,0,,,,0,82000
41,20,RL,8658,NAmes,6,5,1965,1324,1324,0,1324,2,0,Attchd,1965.0,RFn,2,160000
42,20,RL,16905,Timber,5,6,1959,1328,1328,0,1328,1,1,Attchd,1959.0,RFn,1,170000
43,85,RL,9180,SawyerW,5,7,1983,884,884,0,884,1,0,Attchd,1983.0,RFn,2,144000
44,20,RL,9200,CollgCr,5,6,1975,938,938,0,938,1,0,Detchd,1977.0,Unf,1,130250
45,20,RL,7945,NAmes,5,6,1959,1150,1150,0,1150,1,0,Attchd,1959.0,RFn,1,141000
46,120,RL,7658,NridgHt,9,5,2005,1752,1752,0,1752,2,0,Attchd,2005.0,RFn,2,319900
47,50,RL,12822,Mitchel,7,5,2003,2149,1518,631,2149,1,1,Attchd,2003.0,RFn,2,239686
48,20,FV,11096,Somerst,8,5,2006,1656,1656,0,1656,2,0,Attchd,2006.0,RFn,3,249700
49,190,RM,4456,OldTown,4,5,1920,1452,736,716,1452,2,0,,,,0,113000
50,20,RL,7742,Sawyer,5,7,1966,955,955,0,955,1,0,Attchd,1966.0,Unf,1,127000
51,60,RL,13869,Gilbert,6,6,1997,1470,794,676,1470,2,0,Attchd,1997.0,Fin,2,177000
52,50,RM,6240,BrkSide,6,6,1934,1176,816,0,1176,1,0,Detchd,1985.0,Unf,2,114500
53,90,RM,8472,IDOTRR,5,5,1963,816,816,0,816,1,0,CarPort,1963.0,Unf,2,110000
54,20,RL,50271,Veenker,9,5,1981,1842,1842,0,1842,0,1,Attchd,1981.0,Fin,3,385000
55,80,RL,7134,NAmes,5,5,1955,1360,1360,0,1360,1,0,Detchd,1962.0,Unf,2,130000
56,20,RL,10175,NAmes,6,5,1964,1425,1425,0,1425,2,0,Attchd,1964.0,RFn,2,180500
57,160,FV,2645,Somerst,8,5,1999,1739,983,756,1739,2,1,Attchd,1999.0,Fin,2,172500
58,60,RL,11645,CollgCr,7,5,2004,1720,860,860,1720,2,1,Attchd,2004.0,RFn,2,196500
59,60,RL,13682,StoneBr,10,5,2006,2945,1426,1519,2945,3,1,BuiltIn,2006.0,Fin,3,438780
60,20,RL,7200,CollgCr,5,7,1972,780,780,0,780,1,0,Detchd,1973.0,Unf,1,124900
61,20,RL,13072,SawyerW,6,5,2004,1158,1158,0,1158,1,1,Detchd,2006.0,Unf,2,158000
62,75,RM,7200,IDOTRR,5,7,1920,1111,581,530,1111,1,0,Detchd,1935.0,Unf,1,101000
63,120,RL,6442,NridgHt,8,5,2006,1370,1370,0,1370,2,0,Attchd,2006.0,RFn,2,202500
64,70,RM,10300,OldTown,7,6,1921,1710,902,808,1710,2,0,Detchd,1990.0,Unf,2,140000
65,60,RL,9375,CollgCr,7,5,1997,2034,1057,977,2034,2,1,Attchd,1998.0,RFn,2,219500
66,60,RL,9591,NridgHt,8,5,2004,2473,1143,1330,2473,2,1,BuiltIn,2004.0,RFn,3,317000
67,20,RL,19900,NAmes,7,5,1970,2207,2207,0,2207,2,0,Attchd,1970.0,RFn,2,180000
68,20,RL,10665,CollgCr,7,5,2003,1479,1479,0,1479,2,0,Attchd,2003.0,RFn,2,226000
69,30,RM,4608,OldTown,4,6,1945,747,747,0,747,1,0,Attchd,1945.0,Unf,1,80000
70,50,RL,15593,ClearCr,7,4,1953,2287,1304,983,2287,2,0,Attchd,1953.0,Fin,2,225000
71,20,RL,13651,NAmes,7,6,1973,2223,2223,0,2223,2,0,Attchd,1973.0,Fin,2,244000
72,20,RL,7599,Mitchel,4,6,1982,845,845,0,845,1,0,Detchd,1987.0,Unf,2,129500
73,60,RL,10141,Gilbert,7,5,1998,1718,885,833,1718,2,1,Attchd,1998.0,Fin,2,185000
74,20,RL,10200,NAmes,5,7,1954,1086,1086,0,1086,1,0,Attchd,1989.0,Unf,2,144900
75,50,RM,5790,OldTown,3,6,1915,1605,840,765,1605,2,0,Detchd,1915.0,Unf,1,107400
76,180,RM,1596,MeadowV,4,5,1973,988,526,462,988,1,0,BuiltIn,1973.0,Unf,1,91000
77,20,RL,8475,NAmes,4,7,1956,952,952,0,952,1,0,Detchd,1956.0,Unf,1,135750
78,50,RM,8635,BrkSide,5,5,1948,1285,1072,213,1285,1,0,Detchd,1948.0,Unf,1,127000
79,90,RL,10778,Sawyer,4,5,1968,1768,1768,0,1768,2,0,,,,0,136500
80,50,RM,10440,OldTown,5,6,1910,1230,682,548,1230,1,1,Detchd,1966.0,Unf,2,110000
81,60,RL,13000,NAmes,6,6,1968,2142,1182,960,2142,2,1,Attchd,1968.0,Fin,1,193500
82,120,RM,4500,Mitchel,6,5,1998,1337,1337,0,1337,2,0,Attchd,1998.0,Fin,2,153500
83,20,RL,10206,Somerst,8,5,2007,1563,1563,0,1563,2,0,Attchd,2007.0,RFn,3,245000
84,20,RL,8892,NAmes,5,5,1960,1065,1065,0,1065,1,1,Detchd,1974.0,Unf,2,126500
85,80,RL,8530,Gilbert,7,5,1995,1474,804,670,1474,2,1,BuiltIn,1995.0,Fin,2,168500
86,60,RL,16059,NoRidge,8,5,1991,2417,1301,1116,2417,2,1,Attchd,1991.0,Unf,2,260000
87,60,RL,11911,Gilbert,6,5,2005,1560,684,876,1560,2,1,BuiltIn,2005.0,Fin,2,174000
88,160,FV,3951,Somerst,6,5,2009,1224,612,612,1224,2,1,Detchd,2009.0,RFn,2,164500
89,50,C (all),8470,IDOTRR,3,2,1915,1526,1013,0,1526,1,0,,,,0,85000
90,20,RL,8070,CollgCr,4,5,1994,990,990,0,990,1,0,,,,0,123600
91,20,RL,7200,NAmes,4,5,1950,1040,1040,0,1040,1,0,Detchd,1950.0,Unf,2,109900
92,20,RL,8500,NAmes,5,3,1961,1235,1235,0,1235,1,0,Attchd,1961.0,Unf,2,98600
93,30,RL,13360,Crawfor,5,7,1921,964,964,0,964,1,0,Detchd,1921.0,Unf,2,163500
94,190,C (all),7200,OldTown,6,6,1910,2291,1260,1031,2291,2,0,Detchd,1900.0,Unf,2,133900
95,60,RL,9337,CollgCr,6,5,1997,1786,905,881,1786,2,1,Attchd,1997.0,RFn,2,204750
96,60,RL,9765,Gilbert,6,8,1993,1470,680,790,1470,2,1,BuiltIn,1993.0,Fin,2,185000
97,20,RL,10264,CollgCr,7,5,1999,1588,1588,0,1588,2,0,Attchd,1999.0,RFn,2,214000
98,20,RL,10921,Edwards,4,5,1965,960,960,0,960,1,0,Attchd,1965.0,Fin,1,94750
99,30,RL,10625,Edwards,5,5,1920,835,835,0,835,1,0,Basment,1920.0,Unf,1,83000
100,20,RL,9320,NAmes,4,5,1959,1225,1225,0,1225,1,1,,,,0,128950
101,20,RL,10603,NWAmes,6,7,1977,1610,1610,0,1610,2,0,Attchd,1977.0,RFn,2,205000
102,60,RL,9206,SawyerW,6,5,1985,1732,977,755,1732,2,1,Attchd,1985.0,Fin,2,178000
103,90,RL,7018,SawyerW,5,5,1979,1535,1535,0,1535,2,0,Attchd,1979.0,Unf,2,118964
104,20,RL,10402,CollgCr,7,5,2009,1226,1226,0,1226,2,0,Attchd,2009.0,RFn,3,198900
105,50,RM,7758,IDOTRR,7,4,1931,1818,1226,592,1818,1,1,Detchd,1951.0,Unf,1,169500
106,60,FV,9375,Somerst,8,5,2003,1992,1053,939,1992,2,1,Attchd,2003.0,RFn,2,250000
107,30,RM,10800,OldTown,4,7,1885,1047,1047,0,1047,1,0,Detchd,1954.0,Unf,1,100000
108,20,RM,6000,OldTown,5,5,1948,789,789,0,789,1,0,Detchd,1948.0,Unf,1,115000
109,50,RM,8500,IDOTRR,5,7,1919,1517,997,520,1517,2,0,,,,0,115000
110,20,RL,11751,NWAmes,6,6,1977,1844,1844,0,1844,2,0,Attchd,1977.0,RFn,2,190000
111,50,RL,9525,Edwards,6,4,1954,1855,1216,639,1855,2,0,Attchd,1954.0,Unf,1,136900
112,80,RL,7750,Gilbert,7,5,2000,1430,774,656,1430,2,1,BuiltIn,2000.0,Fin,2,180000
113,60,RL,9965,CollgCr,7,5,2007,2696,1282,1414,2696,2,1,BuiltIn,2007.0,Fin,3,383970
114,20,RL,21000,Crawfor,6,5,1953,2259,2259,0,2259,2,0,Basment,1953.0,Unf,2,217000
115,70,RL,7259,Crawfor,6,8,1945,2320,1436,884,2320,2,1,Detchd,1945.0,Unf,1,259500
116,160,FV,3230,Somerst,6,5,1999,1458,729,729,1458,2,1,Detchd,1999.0,Unf,2,176000
117,20,RL,11616,Sawyer,5,5,1962,1092,1092,0,1092,1,0,Attchd,1962.0,Unf,1,139000
118,20,RL,8536,Edwards,5,5,2006,1125,1125,0,1125,1,1,Attchd,2007.0,Unf,2,155000
119,60,RL,12376,SawyerW,7,5,1990,3222,1699,1523,3222,3,0,Attchd,1990.0,Unf,3,320000
120,60,RL,8461,CollgCr,6,5,2005,1456,728,728,1456,2,1,Attchd,2005.0,Fin,2,163990
121,80,RL,21453,ClearCr,6,5,1969,988,988,0,988,1,0,Attchd,1969.0,Unf,2,180000
122,50,RM,6060,IDOTRR,4,5,1939,1123,772,351,1123,1,0,Detchd,1979.0,Unf,1,100000
123,20,RL,9464,NAmes,6,7,1958,1080,1080,0,1080,1,0,Attchd,1958.0,Unf,1,136000
124,120,RL,7892,SawyerW,6,5,1993,1199,1199,0,1199,2,0,Attchd,1993.0,RFn,2,153900
125,20,RL,17043,NWAmes,6,5,1979,1586,1586,0,1586,2,0,Attchd,1979.0,Unf,2,181000
126,190,RM,6780,IDOTRR,6,8,1935,754,520,0,754,1,0,,,,0,84500
127,120,RL,4928,NPkVill,6,5,1976,958,958,0,958,2,0,Attchd,1977.0,RFn,2,128000
128,45,RM,4388,OldTown,5,7,1930,840,840,0,840,1,0,,,,0,87000
129,60,RL,7590,NAmes,6,5,1966,1348,660,688,1348,1,1,Attchd,1966.0,RFn,2,155000
130,20,RL,8973,NAmes,5,7,1958,1053,1053,0,1053,1,1,2Types,1998.0,RFn,2,150000
131,60,RL,14200,NAmes,7,6,1966,2157,1216,941,2157,2,1,Attchd,1966.0,Fin,2,226000
132,60,RL,12224,Gilbert,6,5,2000,2054,1022,1032,2054,2,1,BuiltIn,2000.0,RFn,2,244000
133,20,RL,7388,NAmes,5,6,1959,1327,1327,0,1327,1,0,Detchd,1974.0,Unf,2,150750
134,20,RL,6853,Timber,8,5,2001,1296,1296,0,1296,2,0,Attchd,2001.0,Fin,2,220000
135,20,RL,10335,Sawyer,5,6,1968,1721,1721,0,1721,2,1,Attchd,1968.0,RFn,2,180000
136,20,RL,10400,NWAmes,7,6,1970,1682,1682,0,1682,2,0,Attchd,1970.0,Unf,2,174000
137,20,RL,10355,NAmes,5,5,1967,1214,1214,0,1214,2,0,Attchd,1967.0,RFn,1,143000
138,90,RL,11070,Mitchel,7,5,1988,1959,1959,0,1959,3,0,2Types,1989.0,Unf,3,171000
139,60,RL,9066,CollgCr,8,5,1999,1852,1004,848,1852,2,1,Attchd,1999.0,Fin,3,230000
140,60,RL,15426,CollgCr,6,5,1997,1764,928,836,1764,2,1,Attchd,1997.0,RFn,2,231500
141,20,RL,10500,NAmes,4,5,1971,864,864,0,864,1,0,,,,0,115000
142,20,RL,11645,CollgCr,7,5,2005,1734,1734,0,1734,2,0,Attchd,2005.0,Fin,2,260000
143,50,RL,8520,NAmes,5,4,1952,1385,910,475,1385,2,0,Detchd,2000.0,Unf,2,166000
144,20,RL,10335,CollgCr,7,5,1999,1501,1501,0,1501,2,0,Attchd,1999.0,RFn,2,204000
145,90,RM,9100,Sawyer,5,5,1963,1728,1728,0,1728,2,0,Detchd,1963.0,Unf,2,125000
146,160,RM,2522,Edwards,6,5,2004,1709,970,739,1709,2,0,Detchd,2004.0,Unf,2,130000
147,30,RM,6120,BrkSide,5,7,1931,875,875,0,875,1,0,Detchd,1931.0,Unf,1,105000
148,60,RL,9505,Gilbert,7,5,2001,2035,884,1151,2035,2,1,BuiltIn,2001.0,Fin,2,222500
149,20,RL,7500,SawyerW,7,5,2004,1080,1080,0,1080,1,0,,,,0,141000
150,50,RM,6240,BrkSide,5,4,1936,1344,896,448,1344,1,0,Detchd,1936.0,Unf,1,115000
151,20,RL,10356,CollgCr,5,6,1975,969,969,0,969,1,1,Attchd,1975.0,Unf,2,122000
152,20,RL,13891,NridgHt,8,5,2007,1710,1710,0,1710,2,0,Attchd,2007.0,RFn,3,372402
153,60,RL,14803,NWAmes,6,5,1971,1993,1097,896,1993,2,1,Attchd,1971.0,RFn,2,190000
154,20,RL,13500,ClearCr,6,7,1960,1252,1252,0,1252,1,0,Attchd,1960.0,RFn,2,235000
155,30,RM,11340,OldTown,6,5,1923,1200,1200,0,1200,1,0,Detchd,1923.0,Unf,1,125000
156,50,RL,9600,Edwards,6,5,1924,1096,572,524,1096,1,0,,,,0,79000
157,20,RL,7200,NAmes,5,7,1950,1040,1040,0,1040,1,0,Detchd,1950.0,Unf,2,109500
158,60,RL,12003,Timber,8,5,2009,1968,774,1194,1968,2,1,BuiltIn,2009.0,Fin,3,269500
159,60,FV,12552,Somerst,7,5,2004,1947,991,956,1947,2,1,Attchd,2004.0,RFn,2,254900
160,60,RL,19378,Gilbert,7,5,2005,2462,1392,1070,2462,2,1,Attchd,2006.0,RFn,2,320000
161,20,RL,11120,Veenker,6,6,1984,1232,1232,0,1232,2,0,Attchd,1984.0,Unf,2,162500
162,60,RL,13688,NridgHt,9,5,2003,2668,1572,1096,2668,2,1,BuiltIn,2003.0,Fin,3,412500
163,20,RL,12182,NridgHt,7,5,2005,1541,1541,0,1541,2,0,Attchd,2005.0,RFn,2,220000
164,45,RL,5500,OldTown,4,6,1956,882,882,0,882,1,0,,,,0,103200
165,40,RM,5400,OldTown,6,7,1926,1616,1149,467,1616,2,0,Detchd,1926.0,Unf,1,152000
166,190,RL,10106,Edwards,5,7,1940,1355,808,547,1355,2,0,,,,0,127500
167,20,RL,10708,ClearCr,5,5,1955,1867,1867,0,1867,1,0,Attchd,1955.0,Fin,1,190000
168,60,RL,10562,NridgHt,8,5,2007,2161,1610,551,2161,1,1,Attchd,2007.0,Fin,3,325624
169,60,RL,8244,Gilbert,7,5,2004,1720,840,880,1720,2,1,Attchd,2004.0,Fin,2,183500
170,20,RL,16669,Timber,8,6,1981,1707,1707,0,1707,2,1,Attchd,1981.0,RFn,2,228000
171,50,RM,12358,OldTown,5,6,1941,1382,854,0,1382,1,1,Detchd,1991.0,Unf,2,128500
172,20,RL,31770,NAmes,6,5,1960,1656,1656,0,1656,1,0,Attchd,1960.0,Fin,2,215000
173,160,RL,5306,StoneBr,7,7,1987,1767,1064,703,1767,2,0,Attchd,1987.0,RFn,2,239000
174,20,RL,10197,NAmes,6,5,1961,1362,1362,0,1362,1,1,Attchd,1961.0,Unf,2,163000
175,20,RL,12416,Timber,6,5,1986,1651,1651,0,1651,2,0,Attchd,1986.0,Fin,2,184000
176,20,RL,12615,Edwards,6,7,1950,2158,2158,0,2158,2,0,Attchd,1950.0,Unf,2,243000
177,60,RL,10029,ClearCr,6,5,1988,2060,1164,896,2060,2,1,Attchd,1988.0,Unf,2,211000
178,50,RL,13650,Sawyer,5,5,1958,1920,1252,668,1920,2,0,Attchd,1958.0,Unf,2,172500
179,20,RL,17423,StoneBr,9,5,2008,2234,2234,0,2234,2,0,Attchd,2009.0,Fin,3,501837
180,30,RM,8520,OldTown,5,6,1923,968,968,0,968,1,0,Detchd,1935.0,Unf,2,100000
181,160,FV,2117,Somerst,6,5,2000,1525,769,756,1525,2,1,Detchd,2000.0,Unf,2,177000
182,70,RL,7588,Crawfor,7,6,1920,1802,901,901,1802,1,1,Detchd,1920.0,Unf,1,200100
183,20,RL,9060,Edwards,5,6,1957,1340,1340,0,1340,1,0,Attchd,1957.0,RFn,1,120000
184,50,RM,11426,OldTown,7,5,2003,2082,1362,720,2082,2,1,Detchd,2003.0,Unf,2,200000
185,50,RL,7438,BrkSide,5,8,1908,1252,936,316,1252,1,0,Attchd,1986.0,Unf,2,127000
186,75,RM,22950,OldTown,10,9,1892,3608,1518,1518,3608,2,1,Detchd,1993.0,Unf,3,475000
187,80,RL,9947,Mitchel,7,5,1990,1217,1217,0,1217,2,0,Attchd,1990.0,Unf,2,173000
188,50,RL,10410,OldTown,5,7,1916,1656,808,704,1656,2,1,Detchd,1916.0,Unf,1,135000
189,90,RL,7018,SawyerW,5,5,1979,1224,1224,0,1224,0,2,Detchd,1979.0,Unf,2,153337
190,120,RL,4923,StoneBr,8,5,2001,1593,1593,0,1593,1,1,Attchd,2001.0,Fin,2,286000
191,70,RL,10570,Crawfor,8,8,1932,2727,1549,1178,2727,2,1,Detchd,1932.0,Unf,2,315000
192,60,RL,7472,NAmes,7,9,1972,1479,725,754,1479,1,1,Attchd,1972.0,Fin,2,184000
193,20,RL,9017,CollgCr,7,5,1999,1431,1431,0,1431,2,0,Attchd,1999.0,Fin,2,192000
194,160,RM,2522,Edwards,7,5,2004,1709,970,739,1709,2,0,Detchd,2004.0,Unf,2,130000
195,20,RL,7180,CollgCr,5,7,1972,864,864,0,864,1,0,Detchd,1989.0,Unf,1,127000
196,160,RL,2280,NPkVill,6,6,1976,1456,855,601,1456,2,1,Attchd,1976.0,Unf,2,148500
197,20,RL,9416,Somerst,7,5,2007,1726,1726,0,1726,2,0,Attchd,2007.0,Fin,3,311872
198,75,RL,25419,NAmes,8,4,1918,3112,1360,1360,3112,2,0,Detchd,1918.0,Unf,2,235000
199,75,RM,5520,OldTown,6,6,1912,2229,929,929,2229,1,0,,,,0,104000
200,20,RL,9591,NridgHt,8,5,2004,1713,1713,0,1713,2,0,Attchd,2004.0,Fin,3,274900
201,20,RM,8546,Edwards,4,5,2003,1121,1121,0,1121,2,0,Attchd,2003.0,RFn,2,140000
202,20,RL,10125,Mitchel,6,6,1977,1279,1279,0,1279,2,0,Detchd,1980.0,Unf,2,171500
203,50,RL,7000,OldTown,6,6,1924,1310,865,445,1310,2,0,Attchd,1924.0,Unf,1,112000
204,120,RM,4438,CollgCr,6,5,2004,848,848,0,848,1,0,Attchd,2004.0,RFn,2,149000
205,50,RM,3500,OldTown,5,7,1947,1284,720,564,1284,1,1,Detchd,1948.0,Unf,1,110000
206,20,RL,11851,Gilbert,7,5,1990,1442,1442,0,1442,2,0,Attchd,1990.0,RFn,2,180500
207,20,RL,13673,Sawyer,5,5,1962,1696,1696,0,1696,1,1,Attchd,1962.0,RFn,1,143900
208,20,RL,12493,NAmes,4,5,1960,1100,1100,0,1100,1,0,Attchd,1960.0,RFn,1,141000
209,60,RL,14364,SawyerW,7,5,1988,2062,1180,882,2062,2,1,Attchd,1988.0,Fin,2,277000
210,20,RL,8250,NAmes,6,7,1964,1092,1092,0,1092,1,0,Attchd,1964.0,RFn,2,145000
211,30,RL,5604,Edwards,5,6,1925,864,864,0,864,1,0,,,,0,98000
212,20,RL,10420,Edwards,6,5,2009,1212,1212,0,1212,2,0,Attchd,2009.0,RFn,2,186000
213,60,FV,8640,Somerst,7,5,2009,1852,932,920,1852,2,1,Attchd,2009.0,RFn,2,252678
214,20,RL,13568,CollgCr,5,5,1995,990,990,0,990,1,0,Attchd,1996.0,Unf,2,156000
215,60,RL,10900,CollgCr,6,7,1977,1392,689,703,1392,1,1,Attchd,1977.0,Fin,1,161750
216,20,RL,10011,NAmes,5,6,1957,1236,1236,0,1236,1,0,Attchd,1957.0,Unf,1,134450
217,20,RL,8450,CollgCr,7,5,2004,1436,1436,0,1436,2,0,Attchd,2004.0,Unf,2,210000
218,70,RM,9906,OldTown,4,4,1925,1328,810,518,1328,1,0,Detchd,1940.0,Unf,1,107000
219,50,RL,15660,Crawfor,7,9,1939,1954,1137,817,1954,1,1,Attchd,1939.0,Unf,2,311500
220,120,RL,3010,Blmngtn,7,5,2005,1248,1248,0,1248,2,0,Attchd,2005.0,Fin,2,167240
221,20,RL,8990,CollgCr,7,5,2006,1498,1498,0,1498,2,0,Attchd,2006.0,RFn,2,204900
222,60,RL,8068,Gilbert,6,5,2002,2267,1010,1257,2267,2,1,BuiltIn,2002.0,RFn,2,200000
223,60,RL,11475,NWAmes,6,6,1975,1552,811,741,1552,2,1,Attchd,1975.0,RFn,2,179900
224,20,RL,10500,NAmes,4,6,1971,864,864,0,864,1,0,Detchd,1989.0,Unf,2,97000
225,20,RL,13472,NridgHt,10,5,2003,2392,2392,0,2392,2,0,Attchd,2003.0,Fin,3,386250
226,160,RM,1680,BrDale,5,5,1971,1302,630,672,1302,2,1,Detchd,1991.0,Unf,1,112000
227,60,RL,9950,NoRidge,7,5,1995,2520,1214,1306,2520,2,1,Attchd,1995.0,RFn,3,290000
228,160,RM,1869,BrDale,6,6,1970,987,483,504,987,1,1,Detchd,1987.0,Unf,1,106000
229,20,RL,8521,Sawyer,5,5,1967,912,912,0,912,1,0,Detchd,1974.0,Unf,1,125000
230,120,RL,3182,Blmngtn,7,5,2005,1555,1555,0,1555,2,0,Attchd,2005.0,Fin,2,192500
231,20,RL,8760,NAmes,6,6,1959,1194,1194,0,1194,1,0,Attchd,1959.0,RFn,1,148000
232,60,RL,15138,NoRidge,8,5,1995,2794,1490,1304,2794,2,1,Attchd,1995.0,Fin,3,403000
233,160,RM,1680,BrDale,6,5,1972,987,483,504,987,1,1,Attchd,1972.0,Unf,1,94500
234,20,RL,10650,CollgCr,5,6,1976,894,894,0,894,1,0,Attchd,1976.0,Unf,1,128200
235,60,RL,7851,Gilbert,6,5,2002,1960,860,1100,1960,2,1,BuiltIn,2002.0,Fin,2,216500
236,160,RM,1680,BrDale,6,3,1971,987,483,504,987,1,1,Detchd,1971.0,Unf,1,89500
237,20,RL,8773,CollgCr,7,5,2004,1414,1414,0,1414,2,0,Attchd,2004.0,RFn,2,185500
238,60,RL,9453,SawyerW,7,7,1993,1744,1014,730,1744,2,1,Attchd,1993.0,RFn,2,194500
239,20,RL,12030,NridgHt,8,5,2007,1694,1694,0,1694,2,0,Attchd,2007.0,Fin,3,318000
240,50,RL,8741,Edwards,6,4,1945,1487,798,689,1487,1,1,Detchd,1949.0,Unf,1,113000
241,20,FV,9000,Somerst,8,5,2008,1566,1566,0,1566,2,0,Attchd,2008.0,RFn,2,262500
242,30,RM,3880,OldTown,5,9,1945,866,866,0,866,1,0,,,,0,110500
243,50,RM,5000,OldTown,5,4,1900,1440,889,551,1440,1,0,Attchd,1940.0,Unf,1,79000
244,160,RL,10762,SawyerW,6,6,1980,1217,626,591,1217,1,1,Attchd,1980.0,RFn,1,120000
245,60,RL,8880,SawyerW,7,5,1994,2110,1222,888,2110,2,1,Attchd,1994.0,RFn,2,205000
246,20,RL,10400,NWAmes,7,5,1988,1872,1872,0,1872,2,0,Attchd,1988.0,Fin,2,241500
247,190,RM,9142,OldTown,6,8,1910,1928,908,1020,1928,2,0,Detchd,1910.0,Unf,1,137000
248,20,RL,11310,NAmes,6,5,1954,1375,1375,0,1375,1,0,Attchd,1954.0,Unf,2,140000
